comparison,n_genomes,median_obs,median_null,median_diff,frac_obs_gt_null,wilcoxon_p,frac_genomes_OR_gt_1.5
observed vs UNIFORM null,199,0.007407407407407408,0.0046739748064058605,0.0028038105271865578,0.6231155778894473,1.324366451700668e-09,0.5527638190954773
observed vs ROTATION null,199,0.007407407407407408,0.004737359975013691,0.0029423111885476553,0.6030150753768844,1.0124171848843025e-09,0.5527638190954773
observed vs UNIFORM null (overlap-excluded),199,0.007220216606498195,0.00433278169122556,0.002297741928043482,0.6080402010050251,2.1470298958682863e-08,0.5527638190954773
observed vs ROTATION null (overlap-excluded),199,0.007220216606498195,0.004324340558416643,0.0023308357357137654,0.6080402010050251,1.0487406139333024e-08,0.5527638190954773
