subset,crude_OR,n_near,n_far,E_near,E_far,adj_OR_W15,adj_OR_W15_no_overlap,adj_OR_W50,adj_OR_W50_no_overlap
all,2.464710017781345,311868,2892060,0.011274000538689445,0.004605022025822424,2.425740207963155,2.150385435561791,2.2424384142880354,1.9836359573782134
A,2.5258960077398545,84106,717953,0.020438494281026325,0.008192736850462356,2.322519208780385,2.0700252097863094,2.2399719475971605,1.9897767949279077
C,1.3014721955678166,72782,733276,0.0019372921876288094,0.0014892073380282458,1.355612342808952,1.3655183164087277,1.3766401195464428,1.3870456305196812
G,1.210711552620564,72223,735823,0.0015922905445633663,0.0013155337628750392,1.1048303827552002,1.0980618250938032,1.129274316500799,1.1211016055446628
T,2.4692863050090996,82757,705008,0.018620781323634254,0.007625445385016908,2.4684585819594105,2.21936273842887,2.3005968320459966,2.0658529670285413
A/T @ biological 5prime,2.0883824116245315,83218,673568,0.01749621476122954,0.008454974108033636,1.9890259805238582,1.813864132643458,1.889143578081633,1.7239932575722863
A/T @ biological 3prime,3.0461776005280825,79385,716064,0.022560937204761603,0.007520277517093444,2.927041813148171,2.576703656705244,2.79200183503679,2.449190323802584
