base,threshold,bin_index,distance_bin,distance_left,distance_right,n_runs,n_runs_ge_threshold,E
G,5,2,50-100,50.0,100.0,113608,114,0.0010034504612351242
G,5,3,100-200,100.0,200.0,154137,176,0.0011418413489298481
G,5,4,200-400,200.0,400.0,160191,216,0.0013483903590089331
G,5,5,400-800,400.0,800.0,129579,183,0.0014122658764151599
G,5,6,800-1600,800.0,1600.0,78021,129,0.001653401007421079
G,5,7,1600+,1600.0,inf,33280,100,0.0030048076923076925
G,10,0,0-25,0.0,25.0,72223,0,0.0
G,10,1,25-50,25.0,50.0,67007,0,0.0
G,10,2,50-100,50.0,100.0,113608,0,0.0
G,10,3,100-200,100.0,200.0,154137,0,0.0
G,10,4,200-400,200.0,400.0,160191,0,0.0
G,10,5,400-800,400.0,800.0,129579,0,0.0
G,10,6,800-1600,800.0,1600.0,78021,0,0.0
G,10,7,1600+,1600.0,inf,33280,0,0.0
G,15,0,0-25,0.0,25.0,72223,0,0.0
G,15,1,25-50,25.0,50.0,67007,0,0.0
G,15,2,50-100,50.0,100.0,113608,0,0.0
G,15,3,100-200,100.0,200.0,154137,0,0.0
G,15,4,200-400,200.0,400.0,160191,0,0.0
G,15,5,400-800,400.0,800.0,129579,0,0.0
G,15,6,800-1600,800.0,1600.0,78021,0,0.0
G,15,7,1600+,1600.0,inf,33280,0,0.0
T,5,0,0-25,0.0,25.0,82757,1541,0.018620781323634254
T,5,1,25-50,25.0,50.0,65657,625,0.009519167796274578
T,5,2,50-100,50.0,100.0,102745,1012,0.009849627719110418
T,5,3,100-200,100.0,200.0,146766,1058,0.007208754071106387
T,5,4,200-400,200.0,400.0,150846,1180,0.007822547498773584
T,5,5,400-800,400.0,800.0,124345,754,0.006063774176685834
T,5,6,800-1600,800.0,1600.0,76633,543,0.007085720251066773
T,5,7,1600+,1600.0,inf,38016,204,0.005366161616161616
T,10,0,0-25,0.0,25.0,82757,1,1.2083569969911911e-05
T,10,1,25-50,25.0,50.0,65657,3,4.569200542211798e-05
T,10,2,50-100,50.0,100.0,102745,0,0.0
T,10,3,100-200,100.0,200.0,146766,0,0.0
T,10,4,200-400,200.0,400.0,150846,0,0.0
T,10,5,400-800,400.0,800.0,124345,1,8.042140817885722e-06
T,10,6,800-1600,800.0,1600.0,76633,0,0.0
T,10,7,1600+,1600.0,inf,38016,0,0.0
T,15,0,0-25,0.0,25.0,82757,0,0.0
T,15,1,25-50,25.0,50.0,65657,1,1.5230668474039326e-05
T,15,2,50-100,50.0,100.0,102745,0,0.0
T,15,3,100-200,100.0,200.0,146766,0,0.0
T,15,4,200-400,200.0,400.0,150846,0,0.0
T,15,5,400-800,400.0,800.0,124345,0,0.0
T,15,6,800-1600,800.0,1600.0,76633,0,0.0
T,15,7,1600+,1600.0,inf,38016,0,0.0
