randomisation,base,threshold,bin_index,distance_bin,distance_left,distance_right,n_runs,n_runs_ge_threshold,E
8,T,5,0,0-25,0.0,25.0,89086,945,0.010607727364569068
8,T,5,1,25-50,25.0,50.0,78708,648,0.0082329623418204
8,T,5,2,50-100,50.0,100.0,128176,1186,0.009252902259393334
8,T,5,3,100-200,100.0,200.0,173733,1573,0.009054123281126786
8,T,5,4,200-400,200.0,400.0,168024,1480,0.008808265485882968
8,T,5,5,400-800,400.0,800.0,100113,754,0.007531489416958836
8,T,5,6,800-1600,800.0,1600.0,36859,258,0.006999647304593179
8,T,5,7,1600+,1600.0,inf,13066,73,0.005587019745905403
8,T,10,0,0-25,0.0,25.0,89086,0,0.0
8,T,10,1,25-50,25.0,50.0,78708,0,0.0
8,T,10,2,50-100,50.0,100.0,128176,0,0.0
8,T,10,3,100-200,100.0,200.0,173733,0,0.0
8,T,10,4,200-400,200.0,400.0,168024,4,2.3806122934818835e-05
8,T,10,5,400-800,400.0,800.0,100113,1,9.988712754587317e-06
8,T,10,6,800-1600,800.0,1600.0,36859,0,0.0
8,T,10,7,1600+,1600.0,inf,13066,0,0.0
8,T,15,0,0-25,0.0,25.0,89086,0,0.0
8,T,15,1,25-50,25.0,50.0,78708,0,0.0
8,T,15,2,50-100,50.0,100.0,128176,0,0.0
8,T,15,3,100-200,100.0,200.0,173733,0,0.0
8,T,15,4,200-400,200.0,400.0,168024,1,5.951530733704709e-06
8,T,15,5,400-800,400.0,800.0,100113,0,0.0
8,T,15,6,800-1600,800.0,1600.0,36859,0,0.0
8,T,15,7,1600+,1600.0,inf,13066,0,0.0
9,all,5,0,0-25,0.0,25.0,365122,2067,0.0056611214881601216
9,all,5,1,25-50,25.0,50.0,321047,1631,0.005080253047061645
9,all,5,2,50-100,50.0,100.0,526962,2604,0.004941532786045293
9,all,5,3,100-200,100.0,200.0,720266,3710,0.005150874815693091
9,all,5,4,200-400,200.0,400.0,687398,3595,0.005229866831151677
9,all,5,5,400-800,400.0,800.0,394752,2223,0.005631383754863813
9,all,5,6,800-1600,800.0,1600.0,137596,728,0.005290851478240647
9,all,5,7,1600+,1600.0,inf,50785,276,0.005434675593186965
9,all,10,0,0-25,0.0,25.0,365122,2,5.477621178674526e-06
9,all,10,1,25-50,25.0,50.0,321047,2,6.229617470339234e-06
9,all,10,2,50-100,50.0,100.0,526962,1,1.897670040723999e-06
9,all,10,3,100-200,100.0,200.0,720266,5,6.941879805516295e-06
9,all,10,4,200-400,200.0,400.0,687398,10,1.4547612882202159e-05
9,all,10,5,400-800,400.0,800.0,394752,5,1.266618028534371e-05
9,all,10,6,800-1600,800.0,1600.0,137596,2,1.4535306258902875e-05
9,all,10,7,1600+,1600.0,inf,50785,0,0.0
9,all,15,0,0-25,0.0,25.0,365122,0,0.0
9,all,15,1,25-50,25.0,50.0,321047,0,0.0
9,all,15,2,50-100,50.0,100.0,526962,0,0.0
9,all,15,3,100-200,100.0,200.0,720266,1,1.388375961103259e-06
9,all,15,4,200-400,200.0,400.0,687398,3,4.364283864660648e-06
9,all,15,5,400-800,400.0,800.0,394752,1,2.5332360570687418e-06
9,all,15,6,800-1600,800.0,1600.0,137596,1,7.267653129451438e-06
9,all,15,7,1600+,1600.0,inf,50785,0,0.0
9,A,5,0,0-25,0.0,25.0,89801,986,0.010979833186712843
9,A,5,1,25-50,25.0,50.0,78831,742,0.009412540751734724
9,A,5,2,50-100,50.0,100.0,129229,1151,0.008906669555595107
9,A,5,3,100-200,100.0,200.0,178134,1677,0.009414261174172253
9,A,5,4,200-400,200.0,400.0,172242,1577,0.009155722762160217
9,A,5,5,400-800,400.0,800.0,102248,989,0.009672560832485721
9,A,5,6,800-1600,800.0,1600.0,37431,341,0.009110095909807379
9,A,5,7,1600+,1600.0,inf,14143,138,0.009757477197200028
9,A,10,0,0-25,0.0,25.0,89801,0,0.0
9,A,10,1,25-50,25.0,50.0,78831,0,0.0
9,A,10,2,50-100,50.0,100.0,129229,0,0.0
9,A,10,3,100-200,100.0,200.0,178134,1,5.613751445540997e-06
9,A,10,4,200-400,200.0,400.0,172242,5,2.902892442029238e-05
9,A,10,5,400-800,400.0,800.0,102248,0,0.0
9,A,10,6,800-1600,800.0,1600.0,37431,1,2.671582378242633e-05
9,A,10,7,1600+,1600.0,inf,14143,0,0.0
9,A,15,0,0-25,0.0,25.0,89801,0,0.0
9,A,15,1,25-50,25.0,50.0,78831,0,0.0
9,A,15,2,50-100,50.0,100.0,129229,0,0.0
9,A,15,3,100-200,100.0,200.0,178134,1,5.613751445540997e-06
9,A,15,4,200-400,200.0,400.0,172242,3,1.7417354652175428e-05
9,A,15,5,400-800,400.0,800.0,102248,0,0.0
9,A,15,6,800-1600,800.0,1600.0,37431,1,2.671582378242633e-05
9,A,15,7,1600+,1600.0,inf,14143,0,0.0
9,C,5,0,0-25,0.0,25.0,93592,116,0.0012394221728352852
9,C,5,1,25-50,25.0,50.0,82277,90,0.0010938658434313357
9,C,5,2,50-100,50.0,100.0,134525,177,0.001315740568667534
9,C,5,3,100-200,100.0,200.0,182976,249,0.0013608342077649528
9,C,5,4,200-400,200.0,400.0,172205,274,0.001591126854620946
9,C,5,5,400-800,400.0,800.0,96678,199,0.0020583793624195782
9,C,5,6,800-1600,800.0,1600.0,32203,83,0.0025773996211533087
9,C,5,7,1600+,1600.0,inf,11602,45,0.003878641613514911
9,C,10,0,0-25,0.0,25.0,93592,2,2.1369347807504915e-05
9,C,10,1,25-50,25.0,50.0,82277,1,1.215406492701484e-05
9,C,10,2,50-100,50.0,100.0,134525,1,7.433562534844824e-06
9,C,10,3,100-200,100.0,200.0,182976,4,2.186079048618398e-05
9,C,10,4,200-400,200.0,400.0,172205,4,2.3228129264539358e-05
9,C,10,5,400-800,400.0,800.0,96678,3,3.103084465959163e-05
9,C,10,6,800-1600,800.0,1600.0,32203,0,0.0
9,C,10,7,1600+,1600.0,inf,11602,0,0.0
9,C,15,0,0-25,0.0,25.0,93592,0,0.0
9,C,15,1,25-50,25.0,50.0,82277,0,0.0
9,C,15,2,50-100,50.0,100.0,134525,0,0.0
9,C,15,3,100-200,100.0,200.0,182976,0,0.0
9,C,15,4,200-400,200.0,400.0,172205,0,0.0
9,C,15,5,400-800,400.0,800.0,96678,0,0.0
9,C,15,6,800-1600,800.0,1600.0,32203,0,0.0
9,C,15,7,1600+,1600.0,inf,11602,0,0.0
9,G,5,0,0-25,0.0,25.0,93236,90,0.0009652923763353212
9,G,5,1,25-50,25.0,50.0,82287,90,0.0010937329104232746
9,G,5,2,50-100,50.0,100.0,135196,146,0.0010799136069114472
9,G,5,3,100-200,100.0,200.0,183165,216,0.0011792645974940627
9,G,5,4,200-400,200.0,400.0,173034,256,0.0014794780216604829
9,G,5,5,400-800,400.0,800.0,96731,176,0.0018194787606868532
9,G,5,6,800-1600,800.0,1600.0,32467,87,0.002679643946160717
9,G,5,7,1600+,1600.0,inf,11930,22,0.0018440905280804694
9,G,10,0,0-25,0.0,25.0,93236,0,0.0
9,G,10,1,25-50,25.0,50.0,82287,0,0.0
9,G,10,2,50-100,50.0,100.0,135196,0,0.0
9,G,10,3,100-200,100.0,200.0,183165,0,0.0
9,G,10,4,200-400,200.0,400.0,173034,0,0.0
9,G,10,5,400-800,400.0,800.0,96731,0,0.0
9,G,10,6,800-1600,800.0,1600.0,32467,0,0.0
9,G,10,7,1600+,1600.0,inf,11930,0,0.0
9,G,15,0,0-25,0.0,25.0,93236,0,0.0
9,G,15,1,25-50,25.0,50.0,82287,0,0.0
9,G,15,2,50-100,50.0,100.0,135196,0,0.0
9,G,15,3,100-200,100.0,200.0,183165,0,0.0
9,G,15,4,200-400,200.0,400.0,173034,0,0.0
9,G,15,5,400-800,400.0,800.0,96731,0,0.0
9,G,15,6,800-1600,800.0,1600.0,32467,0,0.0
9,G,15,7,1600+,1600.0,inf,11930,0,0.0
9,T,5,0,0-25,0.0,25.0,88493,875,0.009887787734623078
9,T,5,1,25-50,25.0,50.0,77652,709,0.009130479575542163
9,T,5,2,50-100,50.0,100.0,128012,1130,0.008827297440864919
9,T,5,3,100-200,100.0,200.0,175991,1568,0.008909546510901126
9,T,5,4,200-400,200.0,400.0,169917,1488,0.008757216758770458
9,T,5,5,400-800,400.0,800.0,99095,859,0.008668449467682526
9,T,5,6,800-1600,800.0,1600.0,35495,217,0.00611353711790393
9,T,5,7,1600+,1600.0,inf,13110,71,0.005415713196033563
9,T,10,0,0-25,0.0,25.0,88493,0,0.0
9,T,10,1,25-50,25.0,50.0,77652,1,1.2877968371709679e-05
9,T,10,2,50-100,50.0,100.0,128012,0,0.0
9,T,10,3,100-200,100.0,200.0,175991,0,0.0
9,T,10,4,200-400,200.0,400.0,169917,1,5.885226316377996e-06
9,T,10,5,400-800,400.0,800.0,99095,2,2.018265300973813e-05
9,T,10,6,800-1600,800.0,1600.0,35495,1,2.817298211015636e-05
9,T,10,7,1600+,1600.0,inf,13110,0,0.0
9,T,15,0,0-25,0.0,25.0,88493,0,0.0
9,T,15,1,25-50,25.0,50.0,77652,0,0.0
9,T,15,2,50-100,50.0,100.0,128012,0,0.0
9,T,15,3,100-200,100.0,200.0,175991,0,0.0
9,T,15,4,200-400,200.0,400.0,169917,0,0.0
9,T,15,5,400-800,400.0,800.0,99095,1,1.0091326504869066e-05
9,T,15,6,800-1600,800.0,1600.0,35495,0,0.0
9,T,15,7,1600+,1600.0,inf,13110,0,0.0
10,all,5,0,0-25,0.0,25.0,367144,2048,0.005578192752707384
10,all,5,1,25-50,25.0,50.0,324763,1637,0.00504059883669014
10,all,5,2,50-100,50.0,100.0,531767,2707,0.005090575383579651
10,all,5,3,100-200,100.0,200.0,714779,3684,0.00515404061954814
10,all,5,4,200-400,200.0,400.0,679165,3609,0.005313878070866432
10,all,5,5,400-800,400.0,800.0,389650,2128,0.0054613114333376105
10,all,5,6,800-1600,800.0,1600.0,139672,726,0.005197892204593619
10,all,5,7,1600+,1600.0,inf,56988,295,0.005176528391942163
10,all,10,0,0-25,0.0,25.0,367144,0,0.0
10,all,10,1,25-50,25.0,50.0,324763,1,3.079168501337899e-06
10,all,10,2,50-100,50.0,100.0,531767,2,3.761045721152309e-06
10,all,10,3,100-200,100.0,200.0,714779,5,6.995169136194544e-06
10,all,10,4,200-400,200.0,400.0,679165,8,1.1779170010233154e-05
10,all,10,5,400-800,400.0,800.0,389650,7,1.796484024124214e-05
10,all,10,6,800-1600,800.0,1600.0,139672,3,2.147889340741165e-05
10,all,10,7,1600+,1600.0,inf,56988,1,1.7547553870990382e-05
10,all,15,0,0-25,0.0,25.0,367144,0,0.0
10,all,15,1,25-50,25.0,50.0,324763,0,0.0
10,all,15,2,50-100,50.0,100.0,531767,0,0.0
10,all,15,3,100-200,100.0,200.0,714779,0,0.0
10,all,15,4,200-400,200.0,400.0,679165,2,2.9447925025582886e-06
10,all,15,5,400-800,400.0,800.0,389650,2,5.1328114974977546e-06
10,all,15,6,800-1600,800.0,1600.0,139672,1,7.159631135803883e-06
10,all,15,7,1600+,1600.0,inf,56988,1,1.7547553870990382e-05
10,A,5,0,0-25,0.0,25.0,90031,935,0.010385311725961058
10,A,5,1,25-50,25.0,50.0,79613,741,0.009307525152927286
10,A,5,2,50-100,50.0,100.0,130662,1198,0.009168694800324501
10,A,5,3,100-200,100.0,200.0,176760,1649,0.009329033718035755
10,A,5,4,200-400,200.0,400.0,170250,1628,0.009562408223201174
10,A,5,5,400-800,400.0,800.0,100913,1003,0.009939254605452221
10,A,5,6,800-1600,800.0,1600.0,37924,323,0.008517034068136272
10,A,5,7,1600+,1600.0,inf,15906,124,0.007795800326920659
10,A,10,0,0-25,0.0,25.0,90031,0,0.0
10,A,10,1,25-50,25.0,50.0,79613,0,0.0
10,A,10,2,50-100,50.0,100.0,130662,0,0.0
10,A,10,3,100-200,100.0,200.0,176760,1,5.657388549445576e-06
10,A,10,4,200-400,200.0,400.0,170250,3,1.762114537444934e-05
10,A,10,5,400-800,400.0,800.0,100913,2,1.9819052054740223e-05
10,A,10,6,800-1600,800.0,1600.0,37924,0,0.0
10,A,10,7,1600+,1600.0,inf,15906,1,6.28693574751666e-05
10,A,15,0,0-25,0.0,25.0,90031,0,0.0
10,A,15,1,25-50,25.0,50.0,79613,0,0.0
10,A,15,2,50-100,50.0,100.0,130662,0,0.0
10,A,15,3,100-200,100.0,200.0,176760,0,0.0
10,A,15,4,200-400,200.0,400.0,170250,2,1.1747430249632892e-05
10,A,15,5,400-800,400.0,800.0,100913,2,1.9819052054740223e-05
10,A,15,6,800-1600,800.0,1600.0,37924,0,0.0
10,A,15,7,1600+,1600.0,inf,15906,1,6.28693574751666e-05
10,C,5,0,0-25,0.0,25.0,94116,114,0.0012112711972459519
10,C,5,1,25-50,25.0,50.0,83008,110,0.0013251734772552043
10,C,5,2,50-100,50.0,100.0,135963,163,0.001198855571000934
10,C,5,3,100-200,100.0,200.0,181268,227,0.0012522894278085487
10,C,5,4,200-400,200.0,400.0,170990,269,0.001573191414702614
10,C,5,5,400-800,400.0,800.0,95125,207,0.002176084099868594
10,C,5,6,800-1600,800.0,1600.0,32632,102,0.00312576611914685
10,C,5,7,1600+,1600.0,inf,12956,41,0.0031645569620253164
10,C,10,0,0-25,0.0,25.0,94116,0,0.0
10,C,10,1,25-50,25.0,50.0,83008,1,1.2047031611410948e-05
10,C,10,2,50-100,50.0,100.0,135963,2,1.4709884306759927e-05
10,C,10,3,100-200,100.0,200.0,181268,2,1.1033387029150208e-05
10,C,10,4,200-400,200.0,400.0,170990,4,2.3393180887771214e-05
10,C,10,5,400-800,400.0,800.0,95125,4,4.2049934296977664e-05
10,C,10,6,800-1600,800.0,1600.0,32632,2,6.128953174797744e-05
10,C,10,7,1600+,1600.0,inf,12956,0,0.0
10,C,15,0,0-25,0.0,25.0,94116,0,0.0
10,C,15,1,25-50,25.0,50.0,83008,0,0.0
10,C,15,2,50-100,50.0,100.0,135963,0,0.0
10,C,15,3,100-200,100.0,200.0,181268,0,0.0
10,C,15,4,200-400,200.0,400.0,170990,0,0.0
10,C,15,5,400-800,400.0,800.0,95125,0,0.0
10,C,15,6,800-1600,800.0,1600.0,32632,0,0.0
10,C,15,7,1600+,1600.0,inf,12956,0,0.0
10,G,5,0,0-25,0.0,25.0,93933,81,0.0008623167576889911
10,G,5,1,25-50,25.0,50.0,83714,84,0.0010034163939126072
10,G,5,2,50-100,50.0,100.0,135607,150,0.0011061375887675415
10,G,5,3,100-200,100.0,200.0,182140,214,0.0011749203909080927
10,G,5,4,200-400,200.0,400.0,170442,236,0.0013846352424871805
10,G,5,5,400-800,400.0,800.0,95659,179,0.0018712300985793287
10,G,5,6,800-1600,800.0,1600.0,33242,105,0.00315865471391613
10,G,5,7,1600+,1600.0,inf,13309,34,0.002554662258621985
10,G,10,0,0-25,0.0,25.0,93933,0,0.0
10,G,10,1,25-50,25.0,50.0,83714,0,0.0
10,G,10,2,50-100,50.0,100.0,135607,0,0.0
10,G,10,3,100-200,100.0,200.0,182140,0,0.0
10,G,10,4,200-400,200.0,400.0,170442,0,0.0
10,G,10,5,400-800,400.0,800.0,95659,0,0.0
10,G,10,6,800-1600,800.0,1600.0,33242,0,0.0
10,G,10,7,1600+,1600.0,inf,13309,0,0.0
10,G,15,0,0-25,0.0,25.0,93933,0,0.0
10,G,15,1,25-50,25.0,50.0,83714,0,0.0
10,G,15,2,50-100,50.0,100.0,135607,0,0.0
10,G,15,3,100-200,100.0,200.0,182140,0,0.0
10,G,15,4,200-400,200.0,400.0,170442,0,0.0
10,G,15,5,400-800,400.0,800.0,95659,0,0.0
10,G,15,6,800-1600,800.0,1600.0,33242,0,0.0
10,G,15,7,1600+,1600.0,inf,13309,0,0.0
10,T,5,0,0-25,0.0,25.0,89064,918,0.010307194826192401
10,T,5,1,25-50,25.0,50.0,78428,702,0.008950884888050186
10,T,5,2,50-100,50.0,100.0,129535,1196,0.009233025823136605
10,T,5,3,100-200,100.0,200.0,174611,1594,0.009128863588204637
10,T,5,4,200-400,200.0,400.0,167483,1476,0.008812834735465689
10,T,5,5,400-800,400.0,800.0,97953,739,0.007544434575765929
10,T,5,6,800-1600,800.0,1600.0,35874,196,0.005463566928694877
10,T,5,7,1600+,1600.0,inf,14817,96,0.006479044340959708
10,T,10,0,0-25,0.0,25.0,89064,0,0.0
10,T,10,1,25-50,25.0,50.0,78428,0,0.0
10,T,10,2,50-100,50.0,100.0,129535,0,0.0
10,T,10,3,100-200,100.0,200.0,174611,2,1.1454032105651992e-05
10,T,10,4,200-400,200.0,400.0,167483,1,5.970755240830412e-06
10,T,10,5,400-800,400.0,800.0,97953,1,1.0208977775055384e-05
10,T,10,6,800-1600,800.0,1600.0,35874,1,2.7875341472933043e-05
10,T,10,7,1600+,1600.0,inf,14817,0,0.0
10,T,15,0,0-25,0.0,25.0,89064,0,0.0
10,T,15,1,25-50,25.0,50.0,78428,0,0.0
10,T,15,2,50-100,50.0,100.0,129535,0,0.0
10,T,15,3,100-200,100.0,200.0,174611,0,0.0
10,T,15,4,200-400,200.0,400.0,167483,0,0.0
10,T,15,5,400-800,400.0,800.0,97953,0,0.0
10,T,15,6,800-1600,800.0,1600.0,35874,1,2.7875341472933043e-05
10,T,15,7,1600+,1600.0,inf,14817,0,0.0
11,all,5,0,0-25,0.0,25.0,367328,2035,0.005540007840404216
11,all,5,1,25-50,25.0,50.0,324694,1588,0.004890758683560522
11,all,5,2,50-100,50.0,100.0,531093,2755,0.005187415386759005
11,all,5,3,100-200,100.0,200.0,716347,3762,0.005251644803426272
11,all,5,4,200-400,200.0,400.0,689836,3652,0.005294011910077178
11,all,5,5,400-800,400.0,800.0,388755,2054,0.005283533330761019
11,all,5,6,800-1600,800.0,1600.0,141122,766,0.005427927608735704
11,all,5,7,1600+,1600.0,inf,44753,222,0.004960561303152861
11,all,10,0,0-25,0.0,25.0,367328,3,8.167087725411621e-06
11,all,10,1,25-50,25.0,50.0,324694,0,0.0
11,all,10,2,50-100,50.0,100.0,531093,3,5.648728188848281e-06
11,all,10,3,100-200,100.0,200.0,716347,2,2.7919430108592623e-06
11,all,10,4,200-400,200.0,400.0,689836,6,8.697719457958124e-06
11,all,10,5,400-800,400.0,800.0,388755,5,1.2861570912271225e-05
11,all,10,6,800-1600,800.0,1600.0,141122,5,3.543033687164298e-05
11,all,10,7,1600+,1600.0,inf,44753,3,6.70346122047684e-05
11,all,15,0,0-25,0.0,25.0,367328,1,2.722362575137207e-06
11,all,15,1,25-50,25.0,50.0,324694,0,0.0
11,all,15,2,50-100,50.0,100.0,531093,0,0.0
11,all,15,3,100-200,100.0,200.0,716347,0,0.0
11,all,15,4,200-400,200.0,400.0,689836,2,2.8992398193193745e-06
11,all,15,5,400-800,400.0,800.0,388755,1,2.572314182454245e-06
11,all,15,6,800-1600,800.0,1600.0,141122,1,7.086067374328595e-06
11,all,15,7,1600+,1600.0,inf,44753,1,2.23448707349228e-05
11,A,5,0,0-25,0.0,25.0,89894,899,0.010000667452777716
11,A,5,1,25-50,25.0,50.0,79267,723,0.009121071820555843
11,A,5,2,50-100,50.0,100.0,130492,1249,0.009571467982711584
11,A,5,3,100-200,100.0,200.0,177366,1699,0.009579062503523786
11,A,5,4,200-400,200.0,400.0,173420,1678,0.009675931265136663
11,A,5,5,400-800,400.0,800.0,101082,910,0.009002591955046399
11,A,5,6,800-1600,800.0,1600.0,38217,331,0.008661067064395426
11,A,5,7,1600+,1600.0,inf,12321,112,0.009090171252333414
11,A,10,0,0-25,0.0,25.0,89894,1,1.1124212961932943e-05
11,A,10,1,25-50,25.0,50.0,79267,0,0.0
11,A,10,2,50-100,50.0,100.0,130492,1,7.663305030193421e-06
11,A,10,3,100-200,100.0,200.0,177366,0,0.0
11,A,10,4,200-400,200.0,400.0,173420,3,1.7299042786299157e-05
11,A,10,5,400-800,400.0,800.0,101082,0,0.0
11,A,10,6,800-1600,800.0,1600.0,38217,1,2.61663657534605e-05
11,A,10,7,1600+,1600.0,inf,12321,1,8.116224332440549e-05
11,A,15,0,0-25,0.0,25.0,89894,1,1.1124212961932943e-05
11,A,15,1,25-50,25.0,50.0,79267,0,0.0
11,A,15,2,50-100,50.0,100.0,130492,0,0.0
11,A,15,3,100-200,100.0,200.0,177366,0,0.0
11,A,15,4,200-400,200.0,400.0,173420,2,1.1532695190866105e-05
11,A,15,5,400-800,400.0,800.0,101082,0,0.0
11,A,15,6,800-1600,800.0,1600.0,38217,1,2.61663657534605e-05
11,A,15,7,1600+,1600.0,inf,12321,1,8.116224332440549e-05
11,C,5,0,0-25,0.0,25.0,93970,122,0.0012982866872406087
11,C,5,1,25-50,25.0,50.0,83525,99,0.001185273870098773
11,C,5,2,50-100,50.0,100.0,135890,174,0.0012804474207079256
11,C,5,3,100-200,100.0,200.0,182119,244,0.0013397833284830248
11,C,5,4,200-400,200.0,400.0,172810,277,0.0016029164978878538
11,C,5,5,400-800,400.0,800.0,94489,189,0.0020002328313348645
11,C,5,6,800-1600,800.0,1600.0,33048,99,0.0029956427015250544
11,C,5,7,1600+,1600.0,inf,10207,29,0.0028411874203977663
11,C,10,0,0-25,0.0,25.0,93970,2,2.1283388315419814e-05
11,C,10,1,25-50,25.0,50.0,83525,0,0.0
11,C,10,2,50-100,50.0,100.0,135890,1,7.358893222459342e-06
11,C,10,3,100-200,100.0,200.0,182119,2,1.0981830561336269e-05
11,C,10,4,200-400,200.0,400.0,172810,3,1.7360106475319714e-05
11,C,10,5,400-800,400.0,800.0,94489,3,3.1749727481505785e-05
11,C,10,6,800-1600,800.0,1600.0,33048,3,9.077705156136529e-05
11,C,10,7,1600+,1600.0,inf,10207,1,9.797198001371608e-05
11,C,15,0,0-25,0.0,25.0,93970,0,0.0
11,C,15,1,25-50,25.0,50.0,83525,0,0.0
11,C,15,2,50-100,50.0,100.0,135890,0,0.0
11,C,15,3,100-200,100.0,200.0,182119,0,0.0
11,C,15,4,200-400,200.0,400.0,172810,0,0.0
11,C,15,5,400-800,400.0,800.0,94489,0,0.0
11,C,15,6,800-1600,800.0,1600.0,33048,0,0.0
11,C,15,7,1600+,1600.0,inf,10207,0,0.0
11,G,5,0,0-25,0.0,25.0,94323,132,0.0013994465824878344
11,G,5,1,25-50,25.0,50.0,83185,77,0.0009256476528220233
11,G,5,2,50-100,50.0,100.0,135664,145,0.0010688170774855526
11,G,5,3,100-200,100.0,200.0,181773,210,0.0011552870888415772
11,G,5,4,200-400,200.0,400.0,173539,229,0.0013195881041149252
11,G,5,5,400-800,400.0,800.0,95443,166,0.0017392579864421696
11,G,5,6,800-1600,800.0,1600.0,33441,91,0.0027212104901169223
11,G,5,7,1600+,1600.0,inf,10678,33,0.0030904663794718112
11,G,10,0,0-25,0.0,25.0,94323,0,0.0
11,G,10,1,25-50,25.0,50.0,83185,0,0.0
11,G,10,2,50-100,50.0,100.0,135664,0,0.0
11,G,10,3,100-200,100.0,200.0,181773,0,0.0
11,G,10,4,200-400,200.0,400.0,173539,0,0.0
11,G,10,5,400-800,400.0,800.0,95443,0,0.0
11,G,10,6,800-1600,800.0,1600.0,33441,0,0.0
11,G,10,7,1600+,1600.0,inf,10678,0,0.0
11,G,15,0,0-25,0.0,25.0,94323,0,0.0
11,G,15,1,25-50,25.0,50.0,83185,0,0.0
11,G,15,2,50-100,50.0,100.0,135664,0,0.0
11,G,15,3,100-200,100.0,200.0,181773,0,0.0
11,G,15,4,200-400,200.0,400.0,173539,0,0.0
11,G,15,5,400-800,400.0,800.0,95443,0,0.0
11,G,15,6,800-1600,800.0,1600.0,33441,0,0.0
11,G,15,7,1600+,1600.0,inf,10678,0,0.0
11,T,5,0,0-25,0.0,25.0,89141,882,0.009894436903332922
11,T,5,1,25-50,25.0,50.0,78717,689,0.008752874220308193
11,T,5,2,50-100,50.0,100.0,129047,1187,0.009198199105752168
11,T,5,3,100-200,100.0,200.0,175089,1609,0.009189612140111601
11,T,5,4,200-400,200.0,400.0,170067,1468,0.008631892136628506
11,T,5,5,400-800,400.0,800.0,97741,789,0.008072354487881237
11,T,5,6,800-1600,800.0,1600.0,36416,245,0.006727811950790861
11,T,5,7,1600+,1600.0,inf,11547,48,0.004156923876331515
11,T,10,0,0-25,0.0,25.0,89141,0,0.0
11,T,10,1,25-50,25.0,50.0,78717,0,0.0
11,T,10,2,50-100,50.0,100.0,129047,1,7.749114663649677e-06
11,T,10,3,100-200,100.0,200.0,175089,0,0.0
11,T,10,4,200-400,200.0,400.0,170067,0,0.0
11,T,10,5,400-800,400.0,800.0,97741,2,2.0462242047861184e-05
11,T,10,6,800-1600,800.0,1600.0,36416,1,2.7460456942003513e-05
11,T,10,7,1600+,1600.0,inf,11547,1,8.660258075690655e-05
11,T,15,0,0-25,0.0,25.0,89141,0,0.0
11,T,15,1,25-50,25.0,50.0,78717,0,0.0
11,T,15,2,50-100,50.0,100.0,129047,0,0.0
11,T,15,3,100-200,100.0,200.0,175089,0,0.0
11,T,15,4,200-400,200.0,400.0,170067,0,0.0
11,T,15,5,400-800,400.0,800.0,97741,1,1.0231121023930592e-05
11,T,15,6,800-1600,800.0,1600.0,36416,0,0.0
11,T,15,7,1600+,1600.0,inf,11547,0,0.0
12,all,5,0,0-25,0.0,25.0,366635,2046,0.005580481950713925
12,all,5,1,25-50,25.0,50.0,324047,1631,0.005033220489620333
12,all,5,2,50-100,50.0,100.0,530909,2682,0.005051713193786506
12,all,5,3,100-200,100.0,200.0,711131,3709,0.0052156353751981
12,all,5,4,200-400,200.0,400.0,689006,3643,0.005287326960868265
12,all,5,5,400-800,400.0,800.0,395208,2148,0.005435112649541507
12,all,5,6,800-1600,800.0,1600.0,138369,708,0.0051167530299416775
12,all,5,7,1600+,1600.0,inf,48623,267,0.00549122843098945
12,all,10,0,0-25,0.0,25.0,366635,5,1.3637541424032076e-05
12,all,10,1,25-50,25.0,50.0,324047,0,0.0
12,all,10,2,50-100,50.0,100.0,530909,5,9.417809831816752e-06
12,all,10,3,100-200,100.0,200.0,711131,3,4.218632010135966e-06
12,all,10,4,200-400,200.0,400.0,689006,5,7.256830854883702e-06
12,all,10,5,400-800,400.0,800.0,395208,2,5.060626303111273e-06
12,all,10,6,800-1600,800.0,1600.0,138369,6,4.336231381306507e-05
12,all,10,7,1600+,1600.0,inf,48623,1,2.0566398617938014e-05
12,all,15,0,0-25,0.0,25.0,366635,2,5.455016569612831e-06
12,all,15,1,25-50,25.0,50.0,324047,0,0.0
12,all,15,2,50-100,50.0,100.0,530909,0,0.0
12,all,15,3,100-200,100.0,200.0,711131,0,0.0
12,all,15,4,200-400,200.0,400.0,689006,1,1.4513661709767405e-06
12,all,15,5,400-800,400.0,800.0,395208,1,2.5303131515556364e-06
12,all,15,6,800-1600,800.0,1600.0,138369,2,1.4454104604355022e-05
12,all,15,7,1600+,1600.0,inf,48623,0,0.0
12,A,5,0,0-25,0.0,25.0,89796,919,0.01023430887790102
12,A,5,1,25-50,25.0,50.0,79447,755,0.009503190806449582
12,A,5,2,50-100,50.0,100.0,130363,1217,0.009335470954181784
12,A,5,3,100-200,100.0,200.0,176392,1690,0.009580933375663295
12,A,5,4,200-400,200.0,400.0,173174,1621,0.009360527561874185
12,A,5,5,400-800,400.0,800.0,102367,981,0.00958316645012553
12,A,5,6,800-1600,800.0,1600.0,37354,318,0.0085131445092895
12,A,5,7,1600+,1600.0,inf,13166,100,0.007595321282090233
12,A,10,0,0-25,0.0,25.0,89796,1,1.1136353512405897e-05
12,A,10,1,25-50,25.0,50.0,79447,0,0.0
12,A,10,2,50-100,50.0,100.0,130363,2,1.534177642429217e-05
12,A,10,3,100-200,100.0,200.0,176392,0,0.0
12,A,10,4,200-400,200.0,400.0,173174,1,5.77453890306859e-06
