randomisation,base,threshold,bin_index,distance_bin,distance_left,distance_right,n_runs,n_runs_ge_threshold,E
4,A,5,5,400-800,400.0,800.0,102569,1006,0.009808031666487926
4,A,5,6,800-1600,800.0,1600.0,36794,350,0.009512420503342936
4,A,5,7,1600+,1600.0,inf,13382,116,0.008668360484232552
4,A,10,0,0-25,0.0,25.0,89854,1,1.1129165090034946e-05
4,A,10,1,25-50,25.0,50.0,79714,1,1.254484783099581e-05
4,A,10,2,50-100,50.0,100.0,130268,0,0.0
4,A,10,3,100-200,100.0,200.0,176292,2,1.1344814285390149e-05
4,A,10,4,200-400,200.0,400.0,173186,0,0.0
4,A,10,5,400-800,400.0,800.0,102569,2,1.9499068919459096e-05
4,A,10,6,800-1600,800.0,1600.0,36794,0,0.0
4,A,10,7,1600+,1600.0,inf,13382,1,7.472724555372888e-05
4,A,15,0,0-25,0.0,25.0,89854,0,0.0
4,A,15,1,25-50,25.0,50.0,79714,1,1.254484783099581e-05
4,A,15,2,50-100,50.0,100.0,130268,0,0.0
4,A,15,3,100-200,100.0,200.0,176292,1,5.672407142695074e-06
4,A,15,4,200-400,200.0,400.0,173186,0,0.0
4,A,15,5,400-800,400.0,800.0,102569,2,1.9499068919459096e-05
4,A,15,6,800-1600,800.0,1600.0,36794,0,0.0
4,A,15,7,1600+,1600.0,inf,13382,1,7.472724555372888e-05
4,C,5,0,0-25,0.0,25.0,93949,110,0.0011708480132838028
4,C,5,1,25-50,25.0,50.0,82875,108,0.0013031674208144797
4,C,5,2,50-100,50.0,100.0,135109,169,0.0012508419128259406
4,C,5,3,100-200,100.0,200.0,180706,244,0.001350259537591447
4,C,5,4,200-400,200.0,400.0,173658,256,0.0014741618583652928
4,C,5,5,400-800,400.0,800.0,96926,211,0.0021769184738872956
4,C,5,6,800-1600,800.0,1600.0,31554,103,0.0032642454205489
4,C,5,7,1600+,1600.0,inf,11281,32,0.002836627958514316
4,C,10,0,0-25,0.0,25.0,93949,2,2.1288145696069145e-05
4,C,10,1,25-50,25.0,50.0,82875,1,1.2066365007541478e-05
4,C,10,2,50-100,50.0,100.0,135109,2,1.480286287367977e-05
4,C,10,3,100-200,100.0,200.0,180706,4,2.213540225559749e-05
4,C,10,4,200-400,200.0,400.0,173658,1,5.758444759239425e-06
4,C,10,5,400-800,400.0,800.0,96926,2,2.0634298330685265e-05
4,C,10,6,800-1600,800.0,1600.0,31554,3,9.507510933637573e-05
4,C,10,7,1600+,1600.0,inf,11281,0,0.0
4,C,15,0,0-25,0.0,25.0,93949,0,0.0
4,C,15,1,25-50,25.0,50.0,82875,0,0.0
4,C,15,2,50-100,50.0,100.0,135109,0,0.0
4,C,15,3,100-200,100.0,200.0,180706,0,0.0
4,C,15,4,200-400,200.0,400.0,173658,0,0.0
4,C,15,5,400-800,400.0,800.0,96926,0,0.0
4,C,15,6,800-1600,800.0,1600.0,31554,0,0.0
4,C,15,7,1600+,1600.0,inf,11281,0,0.0
4,G,5,0,0-25,0.0,25.0,94338,113,0.0011978206025143633
4,G,5,1,25-50,25.0,50.0,83147,79,0.0009501244783335539
4,G,5,2,50-100,50.0,100.0,135289,134,0.0009904722482980879
4,G,5,3,100-200,100.0,200.0,181280,225,0.0012411738746690203
4,G,5,4,200-400,200.0,400.0,173174,246,0.0014205365701548732
4,G,5,5,400-800,400.0,800.0,97201,159,0.0016357856400654315
4,G,5,6,800-1600,800.0,1600.0,32080,106,0.0033042394014962595
4,G,5,7,1600+,1600.0,inf,11537,21,0.0018202305625379216
4,G,10,0,0-25,0.0,25.0,94338,0,0.0
4,G,10,1,25-50,25.0,50.0,83147,0,0.0
4,G,10,2,50-100,50.0,100.0,135289,0,0.0
4,G,10,3,100-200,100.0,200.0,181280,0,0.0
4,G,10,4,200-400,200.0,400.0,173174,0,0.0
4,G,10,5,400-800,400.0,800.0,97201,0,0.0
4,G,10,6,800-1600,800.0,1600.0,32080,0,0.0
4,G,10,7,1600+,1600.0,inf,11537,0,0.0
4,G,15,0,0-25,0.0,25.0,94338,0,0.0
4,G,15,1,25-50,25.0,50.0,83147,0,0.0
4,G,15,2,50-100,50.0,100.0,135289,0,0.0
4,G,15,3,100-200,100.0,200.0,181280,0,0.0
4,G,15,4,200-400,200.0,400.0,173174,0,0.0
4,G,15,5,400-800,400.0,800.0,97201,0,0.0
4,G,15,6,800-1600,800.0,1600.0,32080,0,0.0
4,G,15,7,1600+,1600.0,inf,11537,0,0.0
4,T,5,0,0-25,0.0,25.0,89259,871,0.009758119629393115
4,T,5,1,25-50,25.0,50.0,78771,706,0.008962689314595472
4,T,5,2,50-100,50.0,100.0,128537,1166,0.009071317986260765
4,T,5,3,100-200,100.0,200.0,174385,1583,0.009077615620609571
4,T,5,4,200-400,200.0,400.0,169889,1435,0.008446691663380208
4,T,5,5,400-800,400.0,800.0,99645,877,0.008801244417682774
4,T,5,6,800-1600,800.0,1600.0,34883,207,0.00593412263853453
4,T,5,7,1600+,1600.0,inf,12396,72,0.005808325266214908
4,T,10,0,0-25,0.0,25.0,89259,0,0.0
4,T,10,1,25-50,25.0,50.0,78771,0,0.0
4,T,10,2,50-100,50.0,100.0,128537,0,0.0
4,T,10,3,100-200,100.0,200.0,174385,1,5.734438168420449e-06
4,T,10,4,200-400,200.0,400.0,169889,1,5.88619628110119e-06
4,T,10,5,400-800,400.0,800.0,99645,2,2.0071252947965275e-05
4,T,10,6,800-1600,800.0,1600.0,34883,1,2.8667259123355218e-05
4,T,10,7,1600+,1600.0,inf,12396,0,0.0
4,T,15,0,0-25,0.0,25.0,89259,0,0.0
4,T,15,1,25-50,25.0,50.0,78771,0,0.0
4,T,15,2,50-100,50.0,100.0,128537,0,0.0
4,T,15,3,100-200,100.0,200.0,174385,0,0.0
4,T,15,4,200-400,200.0,400.0,169889,1,5.88619628110119e-06
4,T,15,5,400-800,400.0,800.0,99645,0,0.0
4,T,15,6,800-1600,800.0,1600.0,34883,0,0.0
4,T,15,7,1600+,1600.0,inf,12396,0,0.0
5,all,5,0,0-25,0.0,25.0,367596,2001,0.005443475989945484
5,all,5,1,25-50,25.0,50.0,324733,1578,0.004859376780308746
5,all,5,2,50-100,50.0,100.0,528786,2718,0.0051400755693229395
5,all,5,3,100-200,100.0,200.0,715865,3727,0.005206288895252597
5,all,5,4,200-400,200.0,400.0,687603,3648,0.005305386974751419
5,all,5,5,400-800,400.0,800.0,390588,2144,0.005489159933228876
5,all,5,6,800-1600,800.0,1600.0,140400,772,0.005498575498575499
5,all,5,7,1600+,1600.0,inf,48357,246,0.005087164216142441
5,all,10,0,0-25,0.0,25.0,367596,2,5.440755612139414e-06
5,all,10,1,25-50,25.0,50.0,324733,0,0.0
5,all,10,2,50-100,50.0,100.0,528786,7,1.3237869383833914e-05
5,all,10,3,100-200,100.0,200.0,715865,1,1.396911428830855e-06
5,all,10,4,200-400,200.0,400.0,687603,9,1.3088948128498566e-05
5,all,10,5,400-800,400.0,800.0,390588,4,1.0240970024680738e-05
5,all,10,6,800-1600,800.0,1600.0,140400,4,2.849002849002849e-05
5,all,10,7,1600+,1600.0,inf,48357,0,0.0
5,all,15,0,0-25,0.0,25.0,367596,1,2.720377806069707e-06
5,all,15,1,25-50,25.0,50.0,324733,0,0.0
5,all,15,2,50-100,50.0,100.0,528786,1,1.891124197690559e-06
5,all,15,3,100-200,100.0,200.0,715865,0,0.0
5,all,15,4,200-400,200.0,400.0,687603,1,1.4543275698331742e-06
5,all,15,5,400-800,400.0,800.0,390588,2,5.120485012340369e-06
5,all,15,6,800-1600,800.0,1600.0,140400,1,7.122507122507122e-06
5,all,15,7,1600+,1600.0,inf,48357,0,0.0
5,A,5,0,0-25,0.0,25.0,90071,908,0.010080936150370264
5,A,5,1,25-50,25.0,50.0,79520,710,0.008928571428571428
5,A,5,2,50-100,50.0,100.0,129804,1246,0.009599087855536039
5,A,5,3,100-200,100.0,200.0,176647,1683,0.009527475700125108
5,A,5,4,200-400,200.0,400.0,173504,1664,0.009590556990040576
5,A,5,5,400-800,400.0,800.0,101267,951,0.009391015829440982
5,A,5,6,800-1600,800.0,1600.0,38321,342,0.008924610526865166
5,A,5,7,1600+,1600.0,inf,12925,97,0.0075048355899419725
5,A,10,0,0-25,0.0,25.0,90071,1,1.1102352588513505e-05
5,A,10,1,25-50,25.0,50.0,79520,0,0.0
5,A,10,2,50-100,50.0,100.0,129804,0,0.0
5,A,10,3,100-200,100.0,200.0,176647,0,0.0
5,A,10,4,200-400,200.0,400.0,173504,2,1.1527111766875692e-05
5,A,10,5,400-800,400.0,800.0,101267,2,1.9749770408918996e-05
5,A,10,6,800-1600,800.0,1600.0,38321,2,5.2190704835468805e-05
5,A,10,7,1600+,1600.0,inf,12925,0,0.0
5,A,15,0,0-25,0.0,25.0,90071,1,1.1102352588513505e-05
5,A,15,1,25-50,25.0,50.0,79520,0,0.0
5,A,15,2,50-100,50.0,100.0,129804,0,0.0
5,A,15,3,100-200,100.0,200.0,176647,0,0.0
5,A,15,4,200-400,200.0,400.0,173504,1,5.763555883437846e-06
5,A,15,5,400-800,400.0,800.0,101267,2,1.9749770408918996e-05
5,A,15,6,800-1600,800.0,1600.0,38321,1,2.6095352417734403e-05
5,A,15,7,1600+,1600.0,inf,12925,0,0.0
5,C,5,0,0-25,0.0,25.0,94345,111,0.0011765329376225554
5,C,5,1,25-50,25.0,50.0,83199,87,0.0010456856452601593
5,C,5,2,50-100,50.0,100.0,134940,155,0.00114865866310953
5,C,5,3,100-200,100.0,200.0,182513,266,0.001457430429613233
5,C,5,4,200-400,200.0,400.0,171775,259,0.0015077863484208994
5,C,5,5,400-800,400.0,800.0,95361,209,0.0021916716477385933
5,C,5,6,800-1600,800.0,1600.0,32551,99,0.0030413812171669074
5,C,5,7,1600+,1600.0,inf,11374,47,0.004132231404958678
5,C,10,0,0-25,0.0,25.0,94345,1,1.0599395834437437e-05
5,C,10,1,25-50,25.0,50.0,83199,0,0.0
5,C,10,2,50-100,50.0,100.0,134940,5,3.7053505261597744e-05
5,C,10,3,100-200,100.0,200.0,182513,1,5.479061765463282e-06
5,C,10,4,200-400,200.0,400.0,171775,4,2.3286275651288023e-05
5,C,10,5,400-800,400.0,800.0,95361,2,2.097293442812051e-05
5,C,10,6,800-1600,800.0,1600.0,32551,2,6.144204479125065e-05
5,C,10,7,1600+,1600.0,inf,11374,0,0.0
5,C,15,0,0-25,0.0,25.0,94345,0,0.0
5,C,15,1,25-50,25.0,50.0,83199,0,0.0
5,C,15,2,50-100,50.0,100.0,134940,0,0.0
5,C,15,3,100-200,100.0,200.0,182513,0,0.0
5,C,15,4,200-400,200.0,400.0,171775,0,0.0
5,C,15,5,400-800,400.0,800.0,95361,0,0.0
5,C,15,6,800-1600,800.0,1600.0,32551,0,0.0
5,C,15,7,1600+,1600.0,inf,11374,0,0.0
5,G,5,0,0-25,0.0,25.0,94088,108,0.0011478615763965648
5,G,5,1,25-50,25.0,50.0,83229,84,0.001009263598024727
5,G,5,2,50-100,50.0,100.0,135631,144,0.001061704182672103
5,G,5,3,100-200,100.0,200.0,182408,194,0.0010635498443050744
5,G,5,4,200-400,200.0,400.0,172711,239,0.0013838145804262612
5,G,5,5,400-800,400.0,800.0,95489,184,0.0019269235199865953
5,G,5,6,800-1600,800.0,1600.0,32899,90,0.002735645460348339
5,G,5,7,1600+,1600.0,inf,11591,40,0.003450953325856268
5,G,10,0,0-25,0.0,25.0,94088,0,0.0
5,G,10,1,25-50,25.0,50.0,83229,0,0.0
5,G,10,2,50-100,50.0,100.0,135631,0,0.0
5,G,10,3,100-200,100.0,200.0,182408,0,0.0
5,G,10,4,200-400,200.0,400.0,172711,0,0.0
5,G,10,5,400-800,400.0,800.0,95489,0,0.0
5,G,10,6,800-1600,800.0,1600.0,32899,0,0.0
5,G,10,7,1600+,1600.0,inf,11591,0,0.0
5,G,15,0,0-25,0.0,25.0,94088,0,0.0
5,G,15,1,25-50,25.0,50.0,83229,0,0.0
5,G,15,2,50-100,50.0,100.0,135631,0,0.0
5,G,15,3,100-200,100.0,200.0,182408,0,0.0
5,G,15,4,200-400,200.0,400.0,172711,0,0.0
5,G,15,5,400-800,400.0,800.0,95489,0,0.0
5,G,15,6,800-1600,800.0,1600.0,32899,0,0.0
5,G,15,7,1600+,1600.0,inf,11591,0,0.0
5,T,5,0,0-25,0.0,25.0,89092,874,0.009810083958155615
5,T,5,1,25-50,25.0,50.0,78785,697,0.00884686171225487
5,T,5,2,50-100,50.0,100.0,128411,1173,0.009134731448240415
5,T,5,3,100-200,100.0,200.0,174297,1584,0.009087936109055233
5,T,5,4,200-400,200.0,400.0,169613,1486,0.008761120904647639
5,T,5,5,400-800,400.0,800.0,98471,800,0.008124219313300363
5,T,5,6,800-1600,800.0,1600.0,36629,241,0.0065794861994594445
5,T,5,7,1600+,1600.0,inf,12467,62,0.004973129060720302
5,T,10,0,0-25,0.0,25.0,89092,0,0.0
5,T,10,1,25-50,25.0,50.0,78785,0,0.0
5,T,10,2,50-100,50.0,100.0,128411,2,1.5574989681569336e-05
5,T,10,3,100-200,100.0,200.0,174297,0,0.0
5,T,10,4,200-400,200.0,400.0,169613,3,1.7687323495250954e-05
5,T,10,5,400-800,400.0,800.0,98471,0,0.0
5,T,10,6,800-1600,800.0,1600.0,36629,0,0.0
5,T,10,7,1600+,1600.0,inf,12467,0,0.0
5,T,15,0,0-25,0.0,25.0,89092,0,0.0
5,T,15,1,25-50,25.0,50.0,78785,0,0.0
5,T,15,2,50-100,50.0,100.0,128411,1,7.787494840784668e-06
5,T,15,3,100-200,100.0,200.0,174297,0,0.0
5,T,15,4,200-400,200.0,400.0,169613,0,0.0
5,T,15,5,400-800,400.0,800.0,98471,0,0.0
5,T,15,6,800-1600,800.0,1600.0,36629,0,0.0
5,T,15,7,1600+,1600.0,inf,12467,0,0.0
6,all,5,0,0-25,0.0,25.0,368313,2010,0.005457314838194688
6,all,5,1,25-50,25.0,50.0,326310,1603,0.004912506512212314
6,all,5,2,50-100,50.0,100.0,533430,2733,0.005123446375344468
6,all,5,3,100-200,100.0,200.0,716634,3597,0.005019298554073627
6,all,5,4,200-400,200.0,400.0,688750,3678,0.00534010889292196
6,all,5,5,400-800,400.0,800.0,385762,2180,0.00565115278332236
6,all,5,6,800-1600,800.0,1600.0,132431,735,0.005550060031261563
6,all,5,7,1600+,1600.0,inf,52298,298,0.005698114650655857
6,all,10,0,0-25,0.0,25.0,368313,2,5.430164018104167e-06
6,all,10,1,25-50,25.0,50.0,326310,1,3.0645705004443628e-06
6,all,10,2,50-100,50.0,100.0,533430,4,7.498640871342069e-06
6,all,10,3,100-200,100.0,200.0,716634,5,6.977062210277492e-06
6,all,10,4,200-400,200.0,400.0,688750,6,8.711433756805808e-06
6,all,10,5,400-800,400.0,800.0,385762,2,5.184543837910421e-06
6,all,10,6,800-1600,800.0,1600.0,132431,5,3.775551041674532e-05
6,all,10,7,1600+,1600.0,inf,52298,2,3.824238020574401e-05
6,all,15,0,0-25,0.0,25.0,368313,0,0.0
6,all,15,1,25-50,25.0,50.0,326310,0,0.0
6,all,15,2,50-100,50.0,100.0,533430,1,1.8746602178355173e-06
6,all,15,3,100-200,100.0,200.0,716634,0,0.0
6,all,15,4,200-400,200.0,400.0,688750,1,1.4519056261343012e-06
6,all,15,5,400-800,400.0,800.0,385762,1,2.5922719189552106e-06
6,all,15,6,800-1600,800.0,1600.0,132431,2,1.5102204166698129e-05
6,all,15,7,1600+,1600.0,inf,52298,1,1.9121190102872004e-05
6,A,5,0,0-25,0.0,25.0,90403,956,0.010574870302976672
6,A,5,1,25-50,25.0,50.0,79798,707,0.008859871174716158
6,A,5,2,50-100,50.0,100.0,131016,1233,0.009411064297490383
6,A,5,3,100-200,100.0,200.0,177530,1606,0.009046358361966992
6,A,5,4,200-400,200.0,400.0,173045,1614,0.009327053656563321
6,A,5,5,400-800,400.0,800.0,99863,1010,0.010113855982696294
6,A,5,6,800-1600,800.0,1600.0,35944,343,0.009542621856220788
6,A,5,7,1600+,1600.0,inf,14460,132,0.009128630705394191
6,A,10,0,0-25,0.0,25.0,90403,0,0.0
6,A,10,1,25-50,25.0,50.0,79798,1,1.2531642397052558e-05
6,A,10,2,50-100,50.0,100.0,131016,0,0.0
6,A,10,3,100-200,100.0,200.0,177530,1,5.632850785782684e-06
6,A,10,4,200-400,200.0,400.0,173045,1,5.778843653384957e-06
6,A,10,5,400-800,400.0,800.0,99863,1,1.0013718794748806e-05
6,A,10,6,800-1600,800.0,1600.0,35944,2,5.564210994880926e-05
6,A,10,7,1600+,1600.0,inf,14460,1,6.915629322268326e-05
6,A,15,0,0-25,0.0,25.0,90403,0,0.0
