family,k,n,n_gene_end,frac,null_rate,enrichment
Paramyxoviridae,5,234,10,0.042735042735042736,0.0259259259259259,1.64835164835165
Paramyxoviridae,6,62,5,0.08064516129032258,0.0262962962962962,3.0667878237165036
Paramyxoviridae,7,9,0,0.0,0.0268518518518518,0.0
Pneumoviridae,5,188,14,0.07446808510638298,0.0259259259259259,2.8723404255319176
Pneumoviridae,6,62,2,0.03225806451612903,0.0262962962962962,1.2267151294866014
Pneumoviridae,7,19,1,0.05263157894736842,0.0268518518518518,1.9600725952813103
Rhabdoviridae,5,1112,82,0.0737410071942446,0.0259259259259259,2.844295991778009
Rhabdoviridae,6,285,44,0.1543859649122807,0.0262962962962962,5.8710155670867525
Rhabdoviridae,7,78,37,0.47435897435897434,0.0268518518518518,17.665782493368734
