motif,threeprime_rate,control_rate,enrichment,n_3prime,n_control
polyA_run_ge5,0.12715913267181184,0.042833333333333334,2.9679536013491865,5442,12000
polyT_run_ge5,0.20176405733186328,0.043,4.689779716969553,5442,12000
polyA_signal_AATAAA,0.07956633590591694,0.024333333333333332,3.268029287874933,5442,12000
AT_frac_ge_0.7,0.11815509004042632,0.03,3.9360987969973107,5442,12000
